group,k1,k2_min,k2_probs,dc,ekz_I,lecture_test,k3,k4,auditorka,ekz_final
БЭК171,134,30,29,3,17,6,61,59,5,1
БЭК171,110,40,35,10,24,10,53,54,8,4
БЭК171,109,40,18,3,22,6,73,44,7,5
БЭК171,129,40,18,10,25,10,86,60,9,6
БЭК171,175,40,55,5,29,10,100,100,10,10
БЭК171,112,40,31,5,16,10,88,86,9,3
БЭК171,134,25,45,10,23,10,97,88,10,7
БЭК171,128,40,28,10,24,10,63,67,9,5
БЭК171,137,40,40,10,21,10,65,39,10,4
БЭК171,132,39,45,10,22,10,84,84,10,7
БЭК171,133,40,45,10,22,10,83,88,10,7
БЭК171,135,40,45,3,24,10,84,63,8,7
БЭК171,135,40,40,10,26,10,80,66,8,7
БЭК171,125,40,32,10,17,10,86,65,9,7
БЭК171,169,40,53,10,26,10,100,100,10,10
БЭК171,109,40,43,7,21,10,98,90,9,7
БЭК171,172,40,41,10,23,6,75,64,10,6
БЭК171,173,40,46,10,26,6,95,92,10,9
БЭК171,131,39,34,10,24,,64,52,7,4
БЭК171,133,40,42,10,23,10,70,94,8,7
БЭК171,175,40,44,10,23,6,74,80,10,6
БЭК171,122,30,23,10,13,6,65,0,7,3
БЭК171,125,40,43,10,26,5,84,82,10,6
БЭК171,126,40,24,10,14,0,17,45,7,3
БЭК171,127,40,31,10,23,4,53,34,7,7
БЭК172,134,40,28,10,23,10,89,78,10,7
БЭК172,128,40,23,10,18,10,61,57,7,2
БЭК172,127,40,55,10,30,10,100,100,10,10
БЭК172,115,40,43,10,29,8,94,100,10,7
БЭК172,111,40,50,10,23,10,87,83,9,7
БЭК172,97,40,21,10,22,10,66,66,8,4
БЭК172,103,40,47,10,22,10,74,33,9,6
БЭК172,100,35,30,10,25,10,59,50,6,5
БЭК172,100,39,46,10,24,10,71,47,8,7
БЭК172,110,40,37,10,17,9,83,82,9,7
БЭК172,113,40,40,10,25,6,94,100,,5
БЭК172,127,40,39,10,21,,65,1,8,5
БЭК172,115,40,22,10,20,4,28,78,9,5
БЭК172,109,40,43,10,25,10,92,97,10,10
БЭК172,136,10,28,10,23,0,23,62,7,7
БЭК172,133,40,27,7,13,10,72,84,9,6
БЭК172,101,40,39,10,23,8,26,62,8,7
БЭК172,125,40,23,10,20,4,27,80,9,6
БЭК172,122,40,42,7,27,4,16,47,8,7
БЭК1710,30,20,0,0,19,4,8,0,0,7
БЭК1710,34,40,30,10,19,10,61.25,44,10,1
БЭК1710,0,33,0,10,15,4,11,47,8.1,2
БЭК1710,0,22,0,10,14,10,20,31,2.3,6
БЭК1710,16,40,10.5,10,12,,60.5,60,6.1,6
БЭК1710,25.75,40,41.5,10,24,10,61.5,86.5,10,7
БЭК1710,25.75,40,47,10,21,10,70,93,10,7
БЭК1710,45,40,33,9,23,10,57,40,7.7,7
БЭК1710,9,33,0,10,13,10,55,61,9.7,5
БЭК1710,17,38,10,10,22,10,69.25,57,8.3,4
БЭК18-2,6.5,32,0,10,12,,1,0,0,неявка
БЭК1710,14,16,0,10,15,,0,0,3.9,неявка
БЭК1710,0,5,0,10,12,10,10,30,0,2
БЭК1710,9.25,39,2.5,10,10,4,10,40,7.9,3
БЭК1710,20.5,35,16.15,10,19,10,54.5,16.5,9.2,3
БЭК 1710,26,38,30,10,18,10,47.5,29,2.3,6
БЭК1710,50,40,38,10,24,10,76,87,10,7
БЭК1710,22,40,36,10,21,10,75,86,9.1,7
БЭК1710,0,40,13.5,10,16,,0,0,0,неявка
БЭК1710,15,40,22,10,21,,58.75,40,9.2,6
БЭК1710,17.5,26,0,0,11,10,55.5,27,6.1,3
БЭК1710,7.5,40,0,10,7,0,0,56,7.1,2
БЭК1710,14.5,40,22.5,7,19,10,57,38,9.5,5
БЭК1710,,11,0,,#N/A,,0,0,0,1
БЭК1710,21,40,33,10,21,10,53.5,63.5,9.3,5
БЭК1710,40,40,30.5,10,23,10,82.5,87.5,10,7
БЭК1711,19,40,7.25,10,19,10,56,38,9,5
БЭК1711,32.25,40,40.5,10,27,10,96,100,10,8
БЭК1711,34,40,29.5,10,22,4,53.75,95,10,3
БЭК1711,17.75,35,20.5,10,21,8,62,55,9,2
БЭК1711,12,37,8,10,18,10,24,25.5,8.6,5
БЭК1711,11,26,0,10,12,10,69,71,10,1
БЭК1711,4.25,19,0,10,9,5,18,1,0,неявка
